en	ml
a face of a little boy	ഒരു കൊച്ചുകുട്ടിയുടെ മുഖം
Light pole with signs on it.	അടയാളങ്ങളുള്ള ലൈറ്റ് പോൾ.
Large red two-storey bus	വലിയ ചുവന്ന രണ്ട് നില ബസ്
Lights on the front of the subway train.	സബ്‌വേ ട്രെയിനിന്റെ മുൻവശത്തെ ലൈറ്റുകൾ.
part of a grape	ഒരു മുന്തിരിയുടെ ഭാഗം
part of a bush	കുഞ്ഞ് ആന
part of a shade	ഒരു നിഴലിന്റെ ഭാഗം
white foreign righting on red sign	ചുവന്ന ചിഹ്നത്തിൽ വെളുത്ത വിദേശ അവകാശം
reddish brown horse	ചുവപ്പ് കലർന്ന തവിട്ട് കുതിര
white sink in corner	മൂലയിൽ ഒരു വെളുത്ത സിങ്ക്
part of a letter	കുഞ്ഞ് ആന
red motorcycle parked by the curb	ചുവന്ന മോട്ടോർസൈക്കിൾ നിയന്ത്രണം വഴി പാർക്ക് ചെയ്തിരിക്കുന്നു
a black dog laying on a sofa	ഒരു കറുത്ത നായ സോഫയിൽ കിടക്കുന്നു
the tree is small	മരം ചെറുതാണ്
a long boat floating on a body of water	ഒരു നീണ്ട ബോട്ട് വെള്ളത്തിൽ ഒഴുകുന്നു
part of an orange	ഓറഞ്ചിന്റെ ഒരു ഭാഗം
Brown horse eating grass	പുല്ല് തിന്നുന്ന തവിട്ടുനിറത്തിലുള്ള കുതിര
A black car on the road.	റോഡിൽ ഒരു കറുത്ത കാർ.
Horse with no visible head.	കാണാവുന്ന തലയില്ലാത്ത കുതിര.
Leg of a person	ദ്വീപ് ബീച്ച് രംഗം
a speedboat on the water	വെള്ളത്തിൽ ഒരു സ്പീഡ് ബോട്ട്
man playing tennis	ദ്വീപ് ബീച്ച് രംഗം
tropical bird sitting on the rail	വേലിയിൽ ഇരിക്കുന്ന ഉഷ്ണമേഖലാ പക്ഷി
part of a forest	ഒരു വനത്തിന്റെ ഭാഗം
woman playing tennis game	ടെന്നീസ് ഗെയിം കളിക്കുന്ന സ്ത്രീ
a closeup picture of a tie.	ഒരു ടൈയുടെ ക്ലോസപ്പ് ചിത്രം.
Young girl making pizza	പിസ്സ ഉണ്ടാക്കുന്ന പെൺകുട്ടി
a woman on a computer screen	കമ്പ്യൂട്ടർ സ്ക്രീനിൽ ഒരു സ്ത്രീ
A cat wearing a hat.	തൊപ്പി ധരിച്ച പൂച്ച.
man with a pink [arty hat on his head	തലയിൽ പിങ്ക് നിറമുള്ള മനുഷ്യൻ
two cute little pink sockies	രണ്ട് മനോഹരമായ ചെറിയ പിങ്ക് സോക്കികൾ
man riding on skateboard	ദ്വീപ് ബീച്ച് രംഗം
A day out eating lunch	ഉച്ചഭക്ഷണം കഴിക്കുന്ന ഒരു ദിവസം
stop sign behind the bike	ബൈക്കിന്റെ പിന്നിലുള്ള ചിഹ്നം നിർത്തുക
elephant on right has big ear	വലതുവശത്ത് ആനയ്ക്ക് വലിയ ചെവി ഉണ്ട്
Blue and black striped socks	നീലയും കറുപ്പും വരയുള്ള സോക്സുകൾ
Picture taken outdoors	കുഞ്ഞ് ആന
a pair of black skis	ഒരു ജോടി കറുത്ത സ്കീസ്
middle aged man laughing at salad	മധ്യവയസ്‌കൻ സാലഡിൽ നോക്കി ചിരിക്കുന്നു
people in business suits and military uniforms	ബിസിനസ് സ്യൂട്ട് സൈനിക യൂണിഫോം ആളുകൾ
a small train steam engine	ഒരു കറുത്ത ട്രാഷ് ബാഗ്.
train approaching a stop	ട്രെയിൻ ഒരു സ്റ്റോപ്പിനടുത്തെത്തുന്നു
men sitting on a bench	കുഞ്ഞ് ആന
A outdoors picture.	ഒരു do ട്ട്‌ഡോർ ചിത്രം.
a peacock standing outside	പുറത്ത് നിൽക്കുന്ന ഒരു മയിൽ
White birds on man's shirt	മനുഷ്യന്റെ കുപ്പായത്തിൽ വെളുത്ത പക്ഷികൾ
a set of train tracks	ഒരു കൂട്ടം ട്രെയിൻ ട്രാക്കുകൾ
a row of windows	വിൻഡോകളുടെ ഒരു നിര
part of a floor	കുഞ്ഞ് ആന
Head of a man	നിലത്ത് കറുത്ത പുള്ളി
Two giraffe's looking at vehicle	രണ്ട് ജിറാഫുകൾ വാഹനം നോക്കുന്നു
a person lying down in the snow	മഞ്ഞുവീഴ്ചയിൽ കിടക്കുന്ന ഒരാൾ
A computer charger.	ഒരു കമ്പ്യൂട്ടർ ചാർജർ.
Two depressed bananas.	ചതഞ്ഞ രണ്ട് വാഴപ്പഴം.
the snowboarder in the air	സ്നോബോർഡർ വായുവിൽ
Red and white street sign	ചുവപ്പും വെള്ളയും തെരുവ് ചിഹ്നം
A black and gold runner at the foot of the bed.	കട്ടിലിന്റെ ചുവട്ടിൽ ഒരു കറുത്ത സ്വർണ്ണ കരയുള്ള തുണി
wooden table in large room	വലിയ മുറിയിൽ വുഡൻ മേശ
an elephant walking in muddy water	ചെളി വെള്ളത്തിൽ നടക്കുന്ന ആന
parking meters next to each other	പാർക്കിംഗ് മീറ്ററുകൾ പരസ്പരം
a black and white cow	ഒരു ബാഗ് കോട്ടൺ മിഠായി
a boy riding a surfboard	സർഫ്ബോർഡ് ഓടിക്കുന്ന ഒരു കുട്ടി
plane is flying in air	വിമാനം വായുവിൽ പറക്കുന്നു
girl in a pink shirt	പിങ്ക് ഷർട്ടിൽ പെൺകുട്ടി
A kid standing on the end of a skateboard	സ്കേറ്റ്ബോർഡിന്റെ അറ്റത്ത് നിൽക്കുന്ന ഒരു കുട്ടി
a large pile of tangerines	ടാംഗറിനുകളുടെ ഒരു വലിയ കൂമ്പാരം
Daytime near the ocean.	സമുദ്രത്തിനടുത്തുള്ള പകൽ.
white motorcycle parked	വെളുത്ത മോട്ടോർസൈക്കിൾ പാർക്ക് ചെയ്തു
A very old green bus	വളരെ പഴയ പച്ച ബസ്
a woman laying on a mattress	ഒരു സ്ത്രീ കട്ടിൽ കിടക്കുന്നു
vegetable on the floor	തറയിൽ പച്ചക്കറി
a commercial blue and white truck	ഒരു വാണിജ്യ നീലയും വെള്ളയും ട്രക്ക്
A bear by a fence	വേലിയിലിരിക്കുന്ന കരടി
silhouette of person with kite	പട്ടം ഉള്ള വ്യക്തിയുടെ സിലൗറ്റ്
little brown teddy bear	ചെറിയ തവിട്ട് ടെഡിബെയർ
a blue decorated vase	നീല അലങ്കരിച്ച വേസ്
baby elephant under its mom	അമ്മയുടെ കീഴിൽ കുട്ടി ആന
window pane in window	ജനലിലെ ജനൽ പാളി
zebra in the field	വയലിൽ സീബ്ര
the bus on the street	ചുവപ്പ് വെള്ള, നീല തലം എഞ്ചിൻ
A girl on a horse	കുതിരപ്പുറത്ത് ഒരു പെൺകുട്ടി
mountains covered in snow	മഞ്ഞുമൂടിയ പർവതങ്ങൾ
plate full of food	പ്ലേറ്റ് നിറയെ ഭക്ഷണം
broccoli on the plate	പ്ലേറ്റിൽ ബ്രൊക്കോളി
white vehicle parked	വെളുത്ത വാഹനം പാർക്ക് ചെയ്തു
clock on the side of the tower	ഗോപുരത്തിന്റെ വശത്തുള്ള ഘടികാരം
the lamp on the table	മേശപ്പുറത്തെ വിളക്ക്
A greenish wrist band	പച്ചകലർന്ന റിസ്റ്റ് ബാൻഡ്
man kicking a ball	മനുഷ്യൻ ഒരു പന്ത് തട്ടുന്നു
little girl on the beach	കടൽത്തീരത്തെ കൊച്ചു പെൺകുട്ടി
the broccoli is green in color	ചുവപ്പ് വെള്ള, നീല തലം എഞ്ചിൻ
two people riding horses on a beach	കടൽത്തീരത്ത് കുതിരകളെ ഓടിക്കുന്ന രണ്ടുപേർ
shadow from the vase and the flowers	പാത്രത്തിൽ നിന്നും പൂക്കളിൽ നിന്നും നിഴൽ
Individual is on a surfboard.	വ്യക്തിഗത സർഫ്ബോർഡിലാണ്.
A magnetic silver strip on the wall.	ചുമരിൽ ഒരു കാന്തിക വെള്ളി സ്ട്രിപ്പ്.
round blue sign	വൃത്താകൃതിയിലുള്ള നീല ചിഹ്നം
black and white cat under a backpack	കറുപ്പും വെളുപ്പും പൂച്ച ഒരു ബാക്ക് പായ്ക്കിനടിയിൽ
Skiers are on a snow covered road	സ്കൈർസ് ഒരു മഞ്ഞ് മൂടിയ റോഡിൽ ഉണ്ട്
two people cross country skiing	രണ്ടുപേർ ക്രോസ് കണ്ട്രി സ്കീയിംഗ്
bunch of ripe bananas on right	വലതുവശത്ത് പഴുത്ത വാഴപ്പഴം
light yellow fridge with wood trim	മരം ട്രിം ഉള്ള ഇളം മഞ്ഞ ഫ്രിഡ്ജ്
man is riding a motorcycle	മനുഷ്യൻ ഒരു മോട്ടോർ സൈക്കിൾ ഓടിക്കുന്നു
man skiing on the snow	മഞ്ഞുമലയിൽ മനുഷ്യൻ സ്കീയിംഗ്
air freshener on a toilet	ഒരു ടോയ്‌ലറ്റിൽ എയർ ഫ്രെഷനർ
A MAN PLAYING TENNIS	ഒരു മനുഷ്യൻ കളിക്കുന്ന ടെന്നീസ്
a man skiing down a snowy slope	മഞ്ഞുവീഴ്ചയുള്ള ഒരു ചരിവിലൂടെ ഒരാൾ സ്കീയിംഗ് ചെയ്യുന്നു
a small furry dog	ഒരു ചെറിയ രോമമുള്ള നായ
airplane in the sky	വർണ്ണാഭമായ സ്കാർഫ് ധരിച്ച ഒരു സ്ത്രീ
woman petting a black cow	കറുത്ത പശുവിനെ വളർത്തുന്ന സ്ത്രീ
green and white street sign	വർണ്ണാഭമായ സ്കാർഫ് ധരിച്ച ഒരു സ്ത്രീ
The girl has eyes	പെൺകുട്ടിക്ക് കണ്ണുകളുണ്ട്
long black colored tie	നീളമുള്ള കറുത്ത നിറമുള്ള ടൈ
the long red surfboard	നീളമുള്ള ചുവന്ന സർഫ്ബോർഡ്
A striped gold shower curtain.	ഒരു വരയുള്ള സ്വർണ്ണ ഷവർ മൂടുശീല.
giraffe in it's natural habitat	ജിറാഫ് അതിന്റെ പ്രകൃതി വാസസ്ഥലത്ത്
man sitting on a bench	ദ്വീപ് ബീച്ച് രംഗം
Picture taken outdoors	കുഞ്ഞ് ആന
the 90 on the front of the train	ട്രെയിനിന്റെ മുൻവശത്ത് 90
Men playing baseball	ബേസ്ബോൾ കളിക്കുന്ന പുരുഷന്മാർ
a chain link fence	ഒരു ബാഗ് കോട്ടൺ മിഠായി
train number is 34046	ട്രെയിൻ നമ്പർ 34046
some type of brown sauce in white bowl	വെളുത്ത പാത്രത്തിൽ ചിലതരം തവിട്ട് സോസ്
American flag on a building	ഒരു കെട്ടിടത്തിലെ അമേരിക്കൻ പതാക
A breakfast burrito	പ്രഭാതഭക്ഷണമായ ഒരു ബുറിട്ടോ
numerous boats in harbor	തുറമുഖത്ത് നിരവധി ബോട്ടുകൾ
a red truck with its hood up	ചുവന്ന ട്രക്ക്
blue t shirt on man	മനുഷ്യന്റെ മേൽ നീല ടി ഷർട്ട്
the cake is white	കേക്ക് വെളുത്തതാണ്
A white poodle	ഒരു വെളുത്ത പൂഡിൽ
A Golden Retriever on bed	കെട്ടിടത്തിന് മുകളിൽ ഒരു ഫ്ലാഗ് പോൾ
a person holding tennis bat	ടെന്നീസ് ബാറ്റ് കൈവശമുള്ള ഒരാൾ
a giraffe walking in a wildlife park	ഒരു വന്യജീവി പാർക്കിൽ നടക്കുന്ന ജിറാഫ്
red and white stop sign	കുഞ്ഞ് ആന
a girl sitting on a bed	ഒരു കിടക്കയിൽ ഇരിക്കുന്ന ഒരു പെൺകുട്ടി
gathering of young men	ചെറുപ്പക്കാരുടെ ഒത്തുചേരൽ
man riding horse	മനുഷ്യൻ കുതിരസവാരി
a baseball player hitting a ball	ഒരു ബേസ്ബോൾ കളിക്കാരൻ ഒരു പന്ത് തട്ടുന്നു
The sky is blue.	ചാരനിറത്തിലുള്ള റോഡിന്റെ വശങ്ങളിൽ പച്ച പുല്ലിന്റെ സ്ട്രിപ്പുകൾ
two women on a tennis court	ടെന്നീസ് കോർട്ടിൽ രണ്ട് സ്ത്രീകൾ
silver colored fire hydrant	വെള്ളി നിറമുള്ള അഗ്നി ജലാംശം
Picture taken indoors	കുഞ്ഞ് ആന
brown colored town clock	തവിട്ട് നിറമുള്ള ടൗൺ ഘടികാരം
part of an ocean	കുഞ്ഞ് ആന
part of an ocean	കുഞ്ഞ് ആന
Small pink bottle	ചെറിയ പിങ്ക് കുപ്പി
donuts on a white plate	ഒരു വെളുത്ത പാത്രത്തിൽ ഡോണട്ട്സ്
Shoes on a skatebroad	സ്കേറ്റ്ബ്രോഡിലെ ഷൂസ്
the umbrella is black	ചാരനിറത്തിലുള്ള റോഡിന്റെ വശങ്ങളിൽ പച്ച പുല്ലിന്റെ സ്ട്രിപ്പുകൾ
The plate is oval.	പ്ലേറ്റ് ഓവൽ ആകൃതിയിൽ ആണ്
dog wearing a cone	നായ ഒരു കോൺ ധരിക്കുന്നു
boy is flying kite	പയ്യൻ പട്ടം പറക്കുന്നു
a man smiling	പുഞ്ചിരിക്കുന്ന ഒരാൾ
bunch of bananas hanging	ഒരു കൂട്ടം വാഴപ്പഴം തൂക്കിയിരിക്കുന്നു
a small white red and grey plane	ചെറിയ വെള്ള ചുവപ്പും ചാരനിറത്തിലുള്ള വിമാനം
a building sitting among the trees	മരങ്ങൾക്കിടയിൽ ഇരിക്കുന്ന ഒരു കെട്ടിടം
part of a floor	കുഞ്ഞ് ആന
The man is playing baseball	മനുഷ്യൻ ബേസ്ബോൾ കളിക്കുന്നു
Dogs laying on the bed	കിടക്കയിൽ കിടക്കുന്ന നായ്ക്കൾ
A space shuttle in the sky	ആകാശത്ത് ഒരു ബഹിരാകാശവാഹനം
chocolate donuts covered in powder sugar on bottom left shelf	ചുവടെ ഇടത് ഷെൽഫിൽ പൊടി പഞ്ചസാരയിൽ പൊതിഞ്ഞ ചോക്ലേറ്റ് ഡോണട്ട്സ്
The ground is gray.	നിലം ചാരനിറമാണ്.
A man with a blue hat	നീല തൊപ്പിയുള്ള ഒരാൾ
People walking outside	ആളുകൾ പുറത്തേക്ക് നടക്കുന്നു
Handles on a cabinet	ഒരു കാബിനറ്റിൽ പിടി
part of a potato	ഒരു ഉരുളക്കിഴങ്ങിന്റെ ഭാഗം
this is a man	ഇത് ഒരു മനുഷ്യനാണ്
a black and tan owl sitting	കറുത്തതും ടാൻ ആയതുമായ മൂങ്ങ ഇരിക്കുന്നു
man on red parachute	ചുവന്ന പാരച്യൂട്ടിൽ മനുഷ്യൻ
people posing for photographn while snowboarding	സ്നോബോർഡിംഗ് സമയത്ത് ഫോട്ടോയ്ക്ക് പോസ് ചെയ്യുന്ന ആളുകൾ
cat sitting by the window	ജാലകത്തിനരികിൽ ഇരിക്കുന്ന പൂച്ച
wing of a plane is tan and red	ഒരു കെട്ടിടത്തിലെ വലിയ വിൻഡോ
some straw on the ground	നിലത്ത് ചില വൈക്കോൽ
Small grey bird	ചെറിയ ചാരനിറത്തിലുള്ള പക്ഷി
Person taking picture of their dog	അവരുടെ നായയുടെ ചിത്രം എടുക്കുന്ന വ്യക്തി
this is a man	ഇത് ഒരു മനുഷ്യനാണ്
these are two zebras	ഇവ രണ്ട് സീബ്രകളാണ്
Snowboard under a man	ഒരു മനുഷ്യന്റെ കീഴിലുള്ള സ്നോബോർഡ്
this is a man	ഇത് ഒരു മനുഷ്യനാണ്
Man wearing tan hat.	ടാൻ തൊപ്പി ധരിച്ച മനുഷ്യൻ.
Black sticker stuck on pole.	ധ്രുവത്തിൽ കുടുങ്ങിയ കറുത്ത സ്റ്റിക്കർ
large silver spoon	വലിയ വെള്ളി സ്പൂൺ
pink bear on a shelf	ഒരു അലമാരയിൽ പിങ്ക് കരടി
part of a wheel	കുഞ്ഞ് ആന
white sail on the book	പുസ്തകത്തിൽ വെളുത്ത കപ്പൽ
this is the sky	ഇതാണ് ആകാശം
The sky is blue.	ആകാശം നീലയാണ്.
Mirror on a swivel mounted to the wall	ചുമരിൽ ഘടിപ്പിച്ച സ്വിവലിൽ മിറർ
the face of a person	ഒരു വ്യക്തിയുടെ മുഖം
Person has short hair.	കുഞ്ഞ് ആന
green leaves with some holes	ചില ദ്വാരങ്ങളുള്ള പച്ച ഇലകൾ
The sky is grey.	ആകാശം ചാരനിറമാണ്.
a kite in the sky	ആകാശത്ത് ഒരു പട്ടം
the train is dark inside	ട്രെയിൻ ഉള്ളിൽ ഇരുണ്ടതാണ്
shadow of the tree	മരത്തിന്റെ നിഴൽ
The sky is blue.	ആകാശം നീലയാണ്.
The girl is a baby.	പെൺകുട്ടി ഒരു കുഞ്ഞാണ്.
Soda can sitting on the table	സോഡയ്ക്ക് മേശപ്പുറത്ത് ഇരിക്കാൻ കഴിയും
red hour hand on a clock	ഒരു ക്ലോക്കിൽ ചുവന്ന മണിക്കൂർ കൈ
a man holding a wine glass	ഒരാൾ വൈൻ ഗ്ലാസ് പിടിക്കുന്നു
White truck in road.	റോഡിൽ വെളുത്ത ട്രക്ക്.
The colorful sofa in the center of the room.	മുറിയുടെ മധ്യഭാഗത്ത് വർണ്ണാഭമായ സോഫ.
a skier coming down large slope	ഒരു കറുത്ത ട്രാഷ് ബാഗ്.
man with curly short hair	ചുരുണ്ട മുടിയുള്ള മനുഷ്യൻ
A large brick column	ഒരു വലിയ ഇഷ്ടിക നിര
a bottle of hot sauce	ഒരു ബാഗ് കോട്ടൺ മിഠായി
three blue tennis rackets	മൂന്ന് നീല ടെന്നീസ് റാക്കറ്റുകൾ
A train is on railroad tracks	ഒരു ട്രെയിൻ റെയിൽ പാതയിലാണ്
Blue front of passenger train	പാസഞ്ചർ ട്രെയിനിന്റെ മുൻഭാഗം
Brown horse in field	വയലിൽ തവിട്ടുനിറത്തിലുള്ള കുതിര
A silver train on tracks	ട്രാക്കുകളിൽ ഒരു വെള്ളി ട്രെയിൻ
Brown mud on a field	ഒരു വയലിൽ തവിട്ട് ചെളി
this is a steering	ഇതൊരു സ്റ്റിയറിംഗ് ആണ്
lady walking down the street	തെരുവിലൂടെ നടക്കുന്ന സ്ത്രീ
a toilet paper dispenser	ഒരു ടോയ്‌ലറ്റ് പേപ്പർ ഡിസ്പെൻസർ
a black cabinet with white doors	വെളുത്ത വാതിലുകളുള്ള ഒരു കറുത്ത കാബിനറ്റ്
The lights are on.	ലൈറ്റുകൾ ഓണാണ്.
Feta cheese next to black olive	കറുത്ത ഒലിവിനടുത്തുള്ള ഫെറ്റ ചീസ്
Woman's beige hand bag	സ്ത്രീയുടെ ബീജ് ഹാൻഡ് ബാഗ്
Green banana on table.	മേശപ്പുറത്ത് പച്ച വാഴപ്പഴം.
the letters are yellow	അക്ഷരങ്ങൾ മഞ്ഞയാണ്
A base plate below the batter	ബാറ്ററിന് താഴെയുള്ള ഒരു ബേസ് പ്ലേറ്റ്
bright blue sky with a few clouds	കുറച്ച് മേഘങ്ങളുള്ള നീലാകാശം
Two people are dressed like a camel.	രണ്ടുപേർ ഒട്ടകത്തെപ്പോലെ വസ്ത്രം ധരിക്കുന്നു.
A bald man	ഒരു കഷണ്ടിക്കാരൻ
Cricket players playing cricket	ക്രിക്കറ്റ് കളിക്കാർ ക്രിക്കറ്റ് കളിക്കുന്നു
Asparagus is green in color.	ശതാവരി പച്ച നിറത്തിലാണ്.
this is a cat	ഇതൊരു പൂച്ചയാണ്
A brown cat inside a kitchen sink	ഒരു അടുക്കള സിങ്കിനുള്ളിൽ ഒരു തവിട്ട് പൂച്ച
Red and black train car	ചുവപ്പ്, കറുപ്പ് നിറങ്ങൾ ഉള്ള തീവണ്ടി
A large clock on top of a post	ഒരു പോസ്റ്റിന് മുകളിൽ ഒരു വലിയ ക്ലോക്ക്
the bear is white	ചുവപ്പ് വെള്ള, നീല തലം എഞ്ചിൻ
blue greyhound bus	നീല ഗ്രേഹ ഹൗണ്ട് ബസ്
this is a skateboard	ചാരനിറത്തിലുള്ള റോഡിന്റെ വശങ്ങളിൽ പച്ച പുല്ലിന്റെ സ്ട്രിപ്പുകൾ
part of a floor	കുഞ്ഞ് ആന
this guy is surfing	ഈ വ്യക്തി സർഫിംഗ് ചെയ്യുന്നു
White dashed line on the street	തെരുവിൽ വെളുത്ത വരയുടെ നിര
black stripes on a zebra	വർണ്ണാഭമായ സ്കാർഫ് ധരിച്ച ഒരു സ്ത്രീ
A brown sheep with black feet	കറുത്ത കാലുകളുള്ള തവിട്ടുനിറമുള്ള ആട്
large black computer monitor	വലിയ കറുത്ത കമ്പ്യൂട്ടർ മോണിറ്റർ
girl laying in the bed	പെൺകുട്ടി കട്ടിലിൽ കിടക്കുന്നു
this is a man	ഇത് ഒരു മനുഷ്യനാണ്
girl's hair is blonde	പെൺകുട്ടിയുടെ മുടി സുന്ദരമാണ്
Blue ginger bread man on desk.	മേശപ്പുറത്ത് നീല ഇഞ്ചി ബ്രെഡ് മാൻ.
Two childrens standing in the house	വീട്ടിൽ നിൽക്കുന്ന രണ്ട് കുട്ടികൾ
the woman playing tennis	ടെന്നീസ് കളിക്കുന്ന സ്ത്രീ
cat has pink ears	പൂച്ചയ്ക്ക് പിങ്ക് ചെവികളുണ്ട്
An Orange motorcycle reflector light	ഒരു ഓറഞ്ച് മോട്ടോർസൈക്കിളിന്റെ റിഫ്ലക്ടർ ലൈറ്റ്
a dark tie with white dots	വെളുത്ത കുത്തുകളുള്ള ഇരുണ്ട ടൈ
Dreary gray sky with no sun.	സൂര്യനില്ലാത്ത ചാരനിറത്തിലുള്ള ആകാശം.
the ring on the woman's finger	സ്ത്രീയുടെ വിരലിൽ മോതിരം
white laptop sitting on a table	വെളുത്ത ലാപ്‌ടോപ്പ് ഒരു മേശപ്പുറത്ത് ഇരിക്കുന്നു
Three hanging lights	മൂന്ന് തൂക്കു വിളക്കുകൾ
A man's neck	ഒരു മനുഷ്യന്റെ കഴുത്ത്
A purple flower vase	ഒരു പർപ്പിൾ പൂച്ചട്ടി
Gold colored decorative peice	സ്വർണ്ണ നിറത്തിലുള്ള അലങ്കാര പീസ്
A giraffe's purple tounge	ഒരു ജിറാഫിന്റെ പർപ്പിൾ നാക്ക്
This is a person	ഇത് ഒരു വ്യക്തിയാണ്
a man holding a tennis racket	ഒരു കറുത്ത ട്രാഷ് ബാഗ്.
a man on the tarmac	ടാർമാക്കിൽ ഒരു മനുഷ്യൻ
The person is surfing.	വ്യക്തി സർഫിംഗ് ചെയ്യുന്നു.
A surfer riding a wave	തിരമാലയിൽ സഞ്ചരിക്കുന്ന ഒരു സർഫർ
Directional sign secured on pole in sidewalk.	നടപ്പാതയിൽ സുരക്ഷിതമായി വെച്ചിരിക്കുന്ന ധ്രുവത്തിലെ ദിശാസൂചന ചിഹ്നം
the lights are turned on	ലൈറ്റുകൾ ഓണാണ്
small container of sauce	സോസിന്റെ ചെറിയ പാത്രം
a kid feeding a giraffe	ജിറാഫിന് ഭക്ഷണം നൽകുന്ന കുട്ടി
people standing in line	വരിയിൽ നിൽക്കുന്ന ആളുകൾ
man sitting on concrete	കോൺക്രീറ്റിൽ ഇരിക്കുന്ന മനുഷ്യൻ
blue cape with stripes	വരകളുള്ള നീല കേപ്പ്
boy in blue shirt	നീല ഷർട്ടിൽ പയ്യൻ
Black and white board	ബ്ലാക്ക് ആൻഡ് വൈറ്റ് ബോർഡ്
a very large hairy dark brown bull	വളരെ വലിയ രോമമുള്ള ഇരുണ്ട തവിട്ട് കാള
Four cows standing by a road	റോഡരികിൽ നിൽക്കുന്ന നാല് പശുക്കൾ
man is making pizza	മനുഷ്യൻ പിസ്സ ഉണ്ടാക്കുന്നു
the red STOP sign	ചുവന്ന STOP ചിഹ്നം
White and pink frisbee.	വെള്ള, പിങ്ക് ഫ്രിസ്ബീ.
a young girl sitting on a rock	ഒരു പാറയിൽ ഇരിക്കുന്ന ഒരു പെൺകുട്ടി
boy is bent over	കുട്ടി കുനിഞ്ഞു
a bathroom gadget	ഒരു ബാത്ത്റൂം ഗാഡ്‌ജെറ്റ്
A zebra grazing on grass	പുല്ലിൽ മേയിക്കുന്ന ഒരു സീബ്ര
dark panel van parked	പാർക്ക് ചെയ്തിരിക്കുന്ന ഇരുണ്ട പാനൽ വാൻ
The trail has rocks	നടപ്പാതയിൽ പാറകളുണ്ട്
picture taken outdoors	കുഞ്ഞ് ആന
pieces of green broccoli on white plate	വെളുത്ത പ്ലേറ്റിൽ പച്ച ബ്രൊക്കോളി കഷണങ്ങൾ
Man throwing frisbee	ഫ്രിസ്‌ബീ എറിയുന്ന മനുഷ്യൻ
part of a shade	കുഞ്ഞ് ആന
a group of horse back riders on the beach	ഒരു കൂട്ടം കുതിരസവാരി കടൽത്തീരത്ത്
A family of three giraffes	മൂന്ന് ജിറാഫുകളുടെ ഒരു കുടുംബം
Take a trip on a London Landmark	ലണ്ടൻ ലാൻഡ്‌മാർക്കിൽ ഒരു യാത്ര നടത്തുക \
A lone plane in the sky	ആകാശത്ത് ഒരു ഏക വിമാനം
A white hat	ഒരു വെളുത്ത തൊപ്പി
a parked silver bus	പാർക്ക് ചെയ്ത സിൽവർ ബസ്
blue blanket in baby bed	ബേബി ബെഡിൽ നീല പുതപ്പ്
A group of four carrots	നാല് കാരറ്റ് അടങ്ങുന്ന ഒരു സംഘം
The Person is snowboarding	വ്യക്തി സ്നോബോർഡിംഗ് ആണ്
Clock at the top of tall tower	ഉയരമുള്ള ഗോപുരത്തിന്റെ മുകളിൽ ഘടികാരം
the look of 'what did i do wrong? dont leave me?'	'ഞാൻ എന്ത് തെറ്റ് ചെയ്തു? എന്നെ ഉപേക്ഷിക്കുന്നില്ലേ? '
part of a trouser	കുഞ്ഞ് ആന
a silver toilet paper holder set in the wall	ചുവരിൽ ഒരു വെള്ളി ടോയ്‌ലറ്റ് പേപ്പർ ഹോൾഡർ സജ്ജമാക്കി
woman wearing blue ski jacket and black pants	നീല സ്കീ ജാക്കറ്റും കറുത്ത പാന്റും ധരിച്ച സ്ത്രീ
darker blue and white tennis court	ഇരുണ്ട നീലയും വെള്ളയും ടെന്നീസ് കോർട്ട്
the boy is wet	നനഞ്ഞ കുട്ടി
clock hanging by a chain from ceiling	സീലിംഗിൽ നിന്ന് ഒരു ചങ്ങലകൊണ്ട് തൂക്കിയിരിക്കുന്ന ക്ലോക്ക്
A father playing video games with his son	ഒരു പിതാവ് മകനോടൊപ്പം വീഡിയോ ഗെയിമുകൾ കളിക്കുന്നു
The container holds a hotdog.	കണ്ടെയ്നർ ഒരു ഹോട്ട്ഡോഗ് സൂക്ഷിക്കുന്നു.
A zebra in the jungle	കാട്ടിൽ ഒരു സീബ്ര
a surfboard on the sand	മണലിൽ ഒരു സർഫ്ബോർഡ്
man riding a skateboard	ദ്വീപ് ബീച്ച് രംഗം
the tank is on the wall	ടാങ്ക് മതിലിലാണ്
tree branches weighed down by snow	മഞ്ഞാൽ മൂടിയ മരം കൊമ്പുകൾ
picture taken outdoors	ചിത്രം പുറത്തെടുത്തു
Black object hanging from wire.	കമ്പിയിൽ നിന്ന് തൂങ്ങിക്കിടക്കുന്ന കറുത്ത വസ്തു.
white wireless computer mouse	വൈറ്റ് വയർലെസ് കമ്പ്യൂട്ടർ മൗസ്
a thin crust pizza	നേർത്ത പുറംതോട് പിസ്സ
bridge going over the water	പാലം വെള്ളത്തിന് മുകളിലൂടെ പോകുന്നു
Mouse on the table.	മേശപ്പുറത്ത് മൗസ്.
a man and woman boarding the bus at a bus stop	ഒരു പുരുഷനും സ്ത്രീയും ഒരു ബസ് സ്റ്റോപ്പിൽ ബസ്സിൽ കയറുന്നു
open door in the side of the airplane	വിമാനത്തിന്റെ വശത്ത് തുറന്ന വാതിൽ
the plane is on the runway	ചാരനിറത്തിലുള്ള റോഡിന്റെ വശങ്ങളിൽ പച്ച പുല്ലിന്റെ സ്ട്രിപ്പുകൾ
