en	ml
red cross with a white background##bus,bus,bus,bus	വെളുത്ത പശ്ചാത്തലമുള്ള ചുവന്ന ക്രോസ്
court attendant sitting in chair##chair,couch,couch,chair,cake,dining table	കോർട്ട് അറ്റൻഡന്റ് കസേരയിൽ ഇരിക്കുന്നു
TV on the stand.##skateboard,person,person,person,person,skateboard,chair,person	സ്റ്റാൻഡിൽ ടിവി.
kids at a fair eating##vase,vase,vase,vase,vase	കുട്ടികൾ മേളയിൽ ഭക്ഷണം കഴിക്കുന്നു
fence around the court.##chair,refrigerator,chair,bottle,potted plant,microwave,bottle,bottle,oven,microwave	കളിസ്ഥലത്തിനു ചുറ്റും വേലി.
series of curved forms around body##airplane	ശരീരത്തിന് ചുറ്റുമുള്ള വളഞ്ഞ രൂപങ്ങളുടെ ശ്രേണി
White door on second floor##person,baseball glove,person,person,person,baseball bat,baseball bat,car	രണ്ടാം നിലയിലെ വെളുത്ത വാതിൽ
yellow numbers showing the date##person,baseball bat,person,person,baseball glove,person,person,person,person	തീയതി കാണിക്കുന്ന മഞ്ഞ നമ്പറുകൾ
Three women soccer players sitting on a bench.##person,person,person,baseball glove,person,person,person,person,person,person	മൂന്ന് വനിതാ സോക്കർ കളിക്കാർ ബെഞ്ചിലിരിക്കുന്നു
Grey block wall behind woman##person,sheep,person,cell phone,dog,person,bench,person,person,cow	സ്ത്രീക്ക് പിന്നിൽ ഗ്രേ ബ്ലോക്ക് മതിൽ
raised cross on top of remote control##airplane	റിമോട്ട് നിയന്ത്രണത്തിന് മുകളിൽ ഉയർത്തിയ ക്രോസ്
seats in the stand##person,person,person,baseball bat,person,baseball glove,person,person,person,person	സ്റ്റാൻഡിലെ സീറ്റുകൾ
Opponent Reaching Out to block##person,frisbee	തടയാൻ എതിരാളി എത്തിച്ചേരുന്നു
Dark colored stand a tv is on.##traffic light,traffic light,traffic light,traffic light,traffic light,traffic light,traffic light,traffic light,traffic light	ഇരുണ്ട നിറമുള്ള സ്റ്റാൻഡിൽ ഒരു ടീവി ഉണ്ട്
Single white line drawn on tennis court##person,person,tennis racket,tennis racket,person,truck	ടെന്നീസ് കോർട്ടിൽ വരച്ച ഒറ്റ വെളുത്ത വര
large orange and green sign giving name and date##person,person,person,person,sports ball,sports ball,tennis racket,person,tennis racket,person	പേരും തീയതിയും നൽകുന്ന വലിയ ഓറഞ്ച്, പച്ച ചിഹ്നങ്ങൾ
black shadow on baseball field beneath baseball players feet##person,person,person,person,sports ball,person,person,person,person,person	ബേസ്ബോൾ കളിക്കാരുടെ കാലുകൾക്ക് താഴെയുള്ള ബേസ്ബോൾ മൈതാനത്തെ കറുത്ത നിഴൽ
Baseball glove on players left hand##person,person	കളിക്കാരുടെ ഇടത് കൈയിലെ ബേസ്ബോൾ കയ്യുറ
rocky and rectangular block with openings on dirt##tv,tv,keyboard,mouse,dining table	പാറയും ചതുരാകൃതിയിലുള്ളതുമായ ബ്ലോക്ക് അഴുക്കുചാലിലേക്ക് തുറക്കുന്നു
green surface surrounding tennis court##person	ടെന്നീസ് കോർട്ടിന് ചുറ്റുമുള്ള പച്ച ഉപരിതലം
The motorcycles are going fast##umbrella,person,tv,bird	മോട്ടോർ സൈക്കിളുകൾ അതിവേഗം പോകുന്നു
photo date on right##person,skis,skis	ഫോട്ടോ തീയതി വലതുവശത്ത്
Right ear of the second cat##airplane,person,person,person,person,person,person,person,person,person	രണ്ടാമത്തെ പൂച്ചയുടെ വലത് ചെവി
two tennis players wearing black shorts##person,person,skis,bench,bench,person,car	കറുത്ത ഷോർട്ട്സ് ധരിച്ച രണ്ട് ടെന്നീസ് കളിക്കാർ
Back right foot of the second goat##stop sign	രണ്ടാമത്തെ ആടിന്റെ വലതു കാൽ
logo on the tennis court##clock,car,clock,clock,truck,car,clock	ടെന്നീസ് കോർട്ടിലെ ലോഗോ
the second engine of the train##person,tennis racket	ട്രെയിനിന്റെ രണ്ടാമത്തെ എഞ്ചിൻ
the stand is stable##person,person,person,person,person,skis,person,person,skis,person	തട്ട് സുസ്ഥിരമാണ്
a horse with an english saddle##zebra,zebra,zebra,zebra,zebra,zebra,zebra	ഒരു ഇംഗ്ലീഷ് സാഡിലുമായി ഒരു കുതിര
a green court##chair,chair,chair,sink,dining table,chair,dining table,chair,bowl,donut	ഒരു പച്ച കോർട്ട്
the yellow block in the parking stall##sandwich,cup,bowl,sandwich,dining table,dining table	പാർക്കിംഗ് സ്റ്റാളിലെ മഞ്ഞ ബ്ലോക്ക്
A table full of fine china.##train,train	ഫൈൻ ചൈന നിറഞ്ഞ ഒരു മേശ.
Cube-like cement block out-building with large square door##person,person,person,person,person,motorcycle,car,car,car,handbag	വലിയ ചതുര വാതിലുള്ള ക്യൂബ് പോലുള്ള സിമന്റ് ബ്ലോക്ക് ഔട്ട്-ബിൽഡിംഗ്
date on the screen##person,banana,banana,banana,bowl,banana,bottle,bottle,bowl,banana	സ്ക്രീനിൽ തീയതി
the stand under the tv##remote,book,remote,carrot	ടിവിയുടെ കീഴിലുള്ള സ്റ്റാന്റ്
child's soft fine brown hair##airplane,airplane,airplane	കുട്ടിയുടെ മൃദുവായ നേർത്ത തവിട്ട് നിറമുള്ള മുടി
date the photo was taken##person,person,person,person,baseball bat,sports ball,baseball glove,baseball glove,baseball glove,baseball bat	ഫോട്ടോ എടുത്ത തീയതി
characters apart on stage set##clock,clock,boat	സ്റ്റേജ് സെറ്റിലെ പ്രതീകങ്ങൾ
A ball girl at the back of a tennis court##person,motorcycle,person,car,car,car,car,car,backpack,truck	ഒരു ടെന്നീസ് കോർട്ടിന്റെ പിൻഭാഗത്തുള്ള ഒരു ബോൾ പെൺകുട്ടി
wave is moving fast##horse,horse	തിരമാല അതിവേഗം നീങ്ങുന്നു
woman is behind the white line of a tennis court##bicycle,bicycle,person,motorcycle,person	ഒരു ടെന്നീസ് കോർട്ടിന്റെ വെളുത്ത വരയ്ക്ക് പിന്നിലാണ് സ്ത്രീ
security forces vehicle with open windows##traffic light,bus,person,car,person,traffic light,car,car,car,person	തുറന്ന ജാലകങ്ങളുള്ള സുരക്ഷാ സേനാ വാഹനം
characters on the edge of the plate##bed	പ്ലേറ്റിന്റെ അരികിലുള്ള പ്രതീകങ്ങൾ
ad on the wall of the court##person,tennis racket,person,person,person,person,person,bottle,person	കോർട്ടിന്റെ ചുമരിൽ പരസ്യം
a white line cross walk.##person,surfboard,person,person	ഒരു വൈറ്റ് ലൈൻ ക്രോസ് വാക്ക്.
dirty concrete wall behind players##person,person,skis,skis,person	കളിക്കാർക്ക് പിന്നിൽ വൃത്തികെട്ട കോൺക്രീറ്റ് മതിൽ
press board table top##	പ്രസ്സ് ബോർഡ് ടേബിൾ ടോപ്പ്
The canvas sits on the stand##person,car,truck,person,car,car,person,umbrella,person,person	ക്യാൻവാസ് സ്റ്റാൻഡിൽ ഇരിക്കുന്നു
people eating fast food##person,frisbee	ആളുകൾ ഫാസ്റ്റ് ഫുഡ് കഴിക്കുന്നു
cross on the church roof##chair,keyboard,chair,tv,tv,person,mouse,mouse,person,bottle	പള്ളി മേൽക്കൂരയിൽ കുരിശ്
the english muffins are toasted##person,person,person,person,skis,skis,person,person,parking meter,skis	ടോസ്റ്റുചെയ്ത ഇംഗ്ലീഷ് മഫിനുകൾ
the second level of the bus##boat,train,train,boat,car	ബസിന്റെ രണ്ടാം ലെവൽ
making a very fast turn##chair,book,book	വളരെ വേഗത്തിൽ തിരിയുന്നു
time and date stamp##person,tennis racket,person,person,chair,tennis racket,chair,chair,kite,person	സമയവും തീയതിയും സ്റ്റാമ്പ്
second place is wearing yellow##person,person,person,baseball bat,baseball glove,baseball bat,baseball glove,person,baseball glove,baseball glove	രണ്ടാം സ്ഥാനം മഞ്ഞയാണ് ധരിച്ചിരിക്കുന്നത്
White candle on a stand##remote,remote,couch,laptop,book,bottle,couch,dining table,cat,cup	ഒരു സ്റ്റാൻഡിൽ വെളുത്ത മെഴുകുതിരി
a black second hand##cow,umbrella	ഒരു കറുത്ത സെക്കൻഡ് ഹാൻഡ്
sign denoting 2900 block##person,baseball glove	2900 ബ്ലോക്കിനെ സൂചിപ്പിക്കുന്ന ചിഹ്നം
white fast logo in corner##sink,bottle,bench,vase	മൂലയിലെ വെളുത്ത ഫാസ്റ്റ് ലോഗോ
second bird on right##clock,chair	വലതുവശത്ത് രണ്ടാമത്തെ പക്ഷി
Dollar amount of the penalty.##tennis racket,person,person,person,tennis racket,person,tennis racket,chair,chair,chair	പിഴയുടെ ഡോളർ തുക.
player running on court##person,motorcycle,cell phone,cell phone,tie	കളിക്കാരൻ കോർട്ടിൽ ഓടുന്നു
the fine is 350 usd##bus,person,person,car,car,traffic light,traffic light,handbag,person,car	പിഴ മൂന്നൂറ്റി അമ്പത് യുഎസ്ഡി
long fine hairs on chin##person,tennis racket,tennis racket	താടിയിൽ നീളമുള്ള നേർത്ത രോമങ്ങൾ
Television in the tv stand.##cup,person,person,chair,chair,potted plant,dining table,chair,frisbee,chair	ടിവി സ്റ്റാൻഡിലെ ടെലിവിഷൻ.
A brick wall separating players and spectators.##person,person,chair,sports ball,tennis racket,chair,car,person,chair,bottle	കളിക്കാരെയും കാണികളെയും വേർതിരിക്കുന്ന ഒരു ഇഷ്ടിക മതിൽ.
a cross is on the tower##bus,car,car	ഗോപുരത്തിൽ ഒരു കുരിശുണ്ട്
score card being held by a man on tennis court##person,tennis racket	സ്‌കോർ കാർഡ് ടെന്നീസ് കോർട്ടിൽ ഒരാൾ കൈവശം വച്ചിരിക്കുന്നു
Land forms in the distance##person,horse,person,person,person,person,person,person,person,person	ദൂരത്തുള്ള ഭൂമി രൂപങ്ങൾ
really fast moving hand##umbrella,umbrella,umbrella,umbrella,umbrella,boat,umbrella,umbrella,umbrella,boat	ശരിക്കും വേഗത്തിൽ നീങ്ങുന്ന കൈ
An old wooden stand shade##person,person,person,surfboard,surfboard,person,surfboard,frisbee,surfboard,person	ഒരു പഴയ തടി സ്റ്റാൻഡ് ഷേഡ്
this court is green##person,person,person,person,person,baseball bat,person,chair,bottle,chair	ഈ കോർട്ട് പച്ചയാണ്
Black hat with a red cross##person,tennis racket,person,person,person,sports ball,chair,chair,chair,chair	ചുവന്ന കുരിശുള്ള കറുത്ത തൊപ്പി
Blue characters on a white background##person,baseball glove	വെളുത്ത പശ്ചാത്തലത്തിൽ നീല പ്രതീകങ്ങൾ
oranges and pears on the second layer of a fruit tree rack##horse,horse,person,person,dog,boat	ഒരു ഫ്രൂട്ട് ട്രീ റാക്കിന്റെ രണ്ടാമത്തെ തട്ടിൽ ഓറഞ്ചും പിയറും
Shadow of the man on the tennis court##person,boat,kite,umbrella,backpack,boat,chair,suitcase,car,boat	ടെന്നീസ് കോർട്ടിലെ മനുഷ്യന്റെ നിഴൽ
the second base coach watches the play##tv,traffic light,suitcase	രണ്ടാമത്തെ അടിസ്ഥാന പരിശീലകൻ കളി കാണുന്നു
brown mane on neck of second giraffe##person,person,tennis racket,tennis racket,car	രണ്ടാമത്തെ ജിറാഫിന്റെ കഴുത്തിൽ തവിട്ട് നിറമുള്ള കുഞ്ചിരോമം
name and website of photographer and Chinese characters##person,orange,banana,orange,orange,apple,banana,apple,orange,orange	ഫോട്ടോഗ്രാഫറുടെയും ചൈനീസ് പ്രതീകങ്ങളുടെയും പേരും വെബ്‌സൈറ്റും
A fruit stand on the sidewalk##hot dog,hot dog,hot dog,hot dog,hot dog,hot dog,hot dog,hot dog,hot dog,hot dog	ഫുട്പാത്തിൽ ഒരു ഫ്രൂട്ട് സ്റ്റാന്റ്
cap on players head##clock	കളിക്കാരന്റെ തലയിലെ തൊപ്പി
The black baseball mit on the players hand##book,cup,book,book,book,book,book,book,book,book	കളിക്കാരുടെ കൈയിലുള്ള കറുത്ത ബേസ്ബോൾ മിറ്റ്
a music stand on a curb##bed,chair,chair,remote,dining table	ഒരു സംഗീത സ്റ്റാൻഡ്
A window on a second story shop.##zebra	രണ്ടാമത്തെ സ്റ്റോറി ഷോപ്പിലെ ഒരു വിൻഡോ.
Woman on a tennis court##clock	ഒരു ടെന്നീസ് കോർട്ടിൽ സ്ത്രീ
The players are giving a high five##tennis racket,book,clock,vase,book,book,person,refrigerator	കളിക്കാർ ഹൈ ഫൈവ് നൽകുന്നു
red time stamp on the photo##person,surfboard,surfboard,surfboard,surfboard,surfboard,frisbee,potted plant,sheep,bird	ഫോട്ടോയിലെ ചുവന്ന സമയ സ്റ്റാമ്പ്
A light reflecting on a tie press.##cat,cat,car	ടൈ പ്രസ്സിൽ പ്രതിഫലിക്കുന്ന ഒരു പ്രകാശം.
yellow front of second train##cup,toothbrush,bottle,cup,toothbrush,dining table,cell phone,apple,toothbrush	രണ്ടാമത്തെ ട്രെയിനിന്റെ മഞ്ഞ ഫ്രണ്ട്
shadows of players on court##motorcycle,person	കോർട്ടിലെ കളിക്കാരുടെ നിഴലുകൾ
banana on the stand##person,person,person,person,baseball bat,baseball glove,person,person,person,person	സ്റ്റാന്റിലെ വാഴപ്പഴം
The sole of a second green shoe.##cup,sandwich,sandwich,person,dining table,sandwich,spoon	രണ്ടാമത്തെ പച്ച ഷൂവിന്റെ അടിഭാഗം
window on second level##laptop,laptop,backpack,backpack,backpack,handbag,backpack,backpack,suitcase,bottle	രണ്ടാം ലെവലിൽ വിൻഡോ
the tennis court is made of grass##person,umbrella,person,person,umbrella,person,person,person,bench,person	ടെന്നീസ് കോർട്ട് പുല്ലുകൊണ്ട് നിർമ്മിച്ചതാണ്
this sign is not in english##person,person,person,person,person,sports ball,person,person,person,chair	ഈ അടയാളം ഇംഗ്ലീഷിലില്ല
a cross on the front of a church##clock	ഒരു പള്ളിയുടെ മുൻവശത്ത് ഉള്ള ഒരു കുരിശ്
ovan kept in the stand##car,traffic light,traffic light,person,car,car,car,person,car,car	ഓവൻ സ്റ്റാൻഡിൽ വെച്ചിരിക്കുന്നു
Electrical wire stand##	ഇലക്ട്രിക്കൽ വയർ സ്റ്റാൻഡ്
A red cross forms on the floor.##skateboard,bicycle,clock,bicycle,car,bicycle,truck,book	തറയിൽ ഒരു ചുവന്ന കുരിശ് രൂപം കൊള്ളുന്നു
This part of the court is blue##clock,scissors,scissors	കോർട്ടിന്റെ ഈ ഭാഗം നീലയാണ്
Angels overlooking the cross##train,clock	ഉയരത്തിൽ നിന്ന് കുരിശിനെ നോക്കുന്ന മാലാഖാമാർ
surfboard forms a splash of water##person,person,person,person,person,person,person,person,person,sports ball	സർഫ്ബോർഡ് വെള്ളം തെറിപ്പിക്കുന്നു
light stand beside bed##train,person	കട്ടിലിന് സമീപം ലൈറ്റ് സ്റ്റാൻഡ്
black metal fence behind a tennis court##	ഒരു ടെന്നീസ് കോർട്ടിന് പിന്നിൽ കറുത്ത മെറ്റൽ വേലി
A stand of trees.##person,clock,chair,clock,person,cup,chair,bottle,bicycle,person	മരങ്ങളുടെ സ്റ്റാന്റ്.
information stamp on image##person,orange,orange,cup,cup,orange,orange,orange,orange,baseball bat	ചിത്രത്തിലെ വിവര സ്റ്റാമ്പ്
white sign with blue asian characters on it##potted plant,potted plant,potted plant,potted plant,potted plant,potted plant,potted plant,potted plant,potted plant,potted plant	നീല ഏഷ്യൻ പ്രതീകങ്ങളുള്ള വെളുത്ത ചിഹ്നം
fine grey gravel under players' legs##clock	കളിക്കാരുടെ കാലുകൾക്ക് കീഴിലുള്ള ചാരനിറത്തിലുള്ള ചരൽ
second suitcase on bottom is orange##refrigerator,refrigerator	ചുവടെയുള്ള രണ്ടാമത്തെ സ്യൂട്ട്കേസ് ഓറഞ്ച് ആണ്
plants behind toy models##train	കളിപ്പാട്ട മോഡലുകൾക്ക് പിന്നിലുള്ള സസ്യങ്ങൾ
older dude on bicycle in a country where spanish/english are the official languages##person,person,person,baseball glove,person,person,person,person,person,baseball glove	സ്പാനിഷ് / ഇംഗ്ലീഷ് ഔദ്യോഗിക ഭാഷകളുള്ള രാജ്യത്ത് സൈക്കിളിൽ പഴയ സുഹൃത്ത്
the weather is fair##person,tennis racket,tennis racket	കാലാവസ്ഥ നല്ലതാണ്
tail fine view of a red plane##person,person,skis,person,skis,person	ചുവന്ന വിമാനത്തിന്റെ ലംബമായ വാൽഘടനയുടെ ഭാഗമായ ഒരു സ്റ്റെബിലൈസർ
zebras stand close together to watch for predators##person,person,tennis racket,tennis racket,person,person,person,person,sports ball,sports ball	വേട്ടക്കാരെ നിരീക്ഷിക്കാൻ സീബ്രകൾ ഒരുമിച്ച് നിൽക്കുന്നു
Black stand with microphone##person,person,sports ball,person,tennis racket,person	മൈക്രോഫോണുള്ള കറുത്ത സ്റ്റാൻഡ്
The second highest rail of the jump##cup,cup,vase,dog,potted plant,cup,vase	ചാടാനുള്ള രണ്ടാമത്തെ ഉയർന്ന റെയിൽ
Old english writing on board##cup,sandwich,dining table	ബോർഡിലെ പഴയ ഇംഗ്ലീഷ് എഴുത്ത്
black armed forces name on wing##person,vase	കറുത്ത സായുധ സേനയുടെ പേര് ചിറകിൽ
a sign showing cross streets##person,person,tennis racket,person,person,person,person,person,potted plant,sports ball	ക്രോസ് സ്ട്രീറ്റുകൾ കാണിക്കുന്ന ഒരു അടയാളം
a stand of snow covered trees##bus,car,person,person,person,person,bus,person,person,person	മഞ്ഞുമൂടിയ മരങ്ങളുടെ ഒരു സ്റ്റാന്റ്
Silver cross necklace##bus,car,traffic light,motorcycle,person,person,traffic light,person,person,person	സിൽവർ ക്രോസ്സ് നെക്ലേസ്
Date stamp 6/30/2013##clock,clock	തീയതി സ്റ്റാമ്പ് 6/30/2013
blue court on the ground##person,baseball glove,sports ball	നിലത്ത് നീല കോർട്ട്
The sign is in arabic and english##tie,tie,tie,tie,tie,tie,tie,tie	ചിഹ്നം അറബിയിലും ഇംഗ്ലീഷിലും ആണ്
open door of a second bus##person,baseball glove,person,person,person,person,person	രണ്ടാമത്തെ ബസിന്റെ തുറന്ന വാതിൽ
the date and time indicating the time of picture##giraffe,giraffe,person,person,person,person,person,person,person,person	ചിത്രത്തിന്റെ സമയം സൂചിപ്പിക്കുന്ന തീയതിയും സമയവും
the angel is holding a cross shield##cow,cow,cow,person,person,person,person,person,person,person	മാലാഖ ഒരു ക്രോസ് ഷീൽഡ് പിടിച്ചിരിക്കുന്നു
Baseball travelling fast in the air##person,bicycle,book,tv,book,tv,book,book,book,book	ബേസ്ബോൾ വായുവിൽ വേഗത്തിൽ സഞ്ചരിക്കുന്നു
date stamp that reads 12/04/2010##person,tennis racket,car,sports ball	12/04/2010 കാണുന്ന തീയതി സ്റ്റാമ്പ്
Safety railing on second story of building##person,person,person,sports ball,tennis racket,clock,tennis racket,tennis racket	കെട്ടിടത്തിന്റെ രണ്ടാം നിലയിലെ സുരക്ഷാ റെയിലിംഗ്
Chinese characters on the back of the truck##cake,dining table,cake	ട്രക്കിന്റെ പുറകിലുള്ള ചൈനീസ് പ്രതീകങ്ങൾ
chinese characters on the side of a bus##banana,banana,banana,person,banana,banana,teddy bear,banana,banana,banana	ഒരു ബസ്സിന്റെ വശത്തുള്ള ചൈനീസ് പ്രതീകങ്ങൾ
tail of elephant forms a circle##horse,person,horse,person,person,person,truck,person,truck,truck	ആനയുടെ വാൽ ഒരു വൃത്തമായി മാറുന്നു
cross country ski racers skiing up a hill.##giraffe	ക്രോസ് കൺട്രി സ്കൈ റേസർമാർ ഒരു കുന്നിൻ മുകളിലേക്ക് സ്കീയിംഗ് നടത്തുന്നു.
Tall lights at the court##person,tennis racket,person,person,person,person,person,person,person,person	കോർട്ടിലെ ഉയരമുള്ള ലൈറ്റുകൾ
block of black butcher knives##person,tennis racket,sports ball	കറുത്ത കശാപ്പ് കത്തികളുടെ ബ്ലോക്ക്
man sitting in fruit stand##person,person,person,person,person,person,baseball glove,person,baseball bat,car	ഫ്രൂട്ട് സ്റ്റാൻഡിൽ ഇരിക്കുന്ന മനുഷ്യൻ
Cartoon characters on his shirt##bus,bus,bus,bus,bus,bus,bus,bus,bus,bus	അവന്റെ ഷർട്ടിൽ കാർട്ടൂൺ കഥാപാത്രങ്ങൾ
a stand next to the sink##potted plant,knife,knife,chair,chair,chair,chair	സിങ്കിനടുത്തുള്ള ഒരു തട്ട്
a second meal plate.##elephant,person,person,person,person,umbrella,elephant,bench,person,person	രണ്ടാമത്തെ ഭക്ഷണ പ്ലേറ്റ്.
five baseball players##cup,sandwich,sandwich,dining table,apple	അഞ്ച് ബേസ്ബോൾ കളിക്കാർ
an unfinished block of wood##dog,horse	പണി പൂർത്തിയാകാത്ത തടിക്കഷ്ണം
antique golf clubs and stand##cat	പുരാതന ഗോൾഫ് ക്ലബ്ബുകളും സ്റ്റാൻഡും
A motorcycle kick stand.##clock,clock,refrigerator	ഒരു മോട്ടോർസൈക്കിളിന്റെ കിക്ക് സ്റ്റാൻഡ്.
Curled metal legs on a candle stand##bus,car,person,person,bus,person,person,person	ഒരു ചുരുണ്ട ലോഹ കാലുകൾ ഉള്ള മെഴുകുതിരി സ്റ്റാന്റ്
Woman in an english style saddle##dog,truck,car,person	ഇംഗ്ലീഷ് ശൈലിയിലുള്ള സാഡിലിൽ സ്ത്രീ
pizza on a butcher block table##person,person,bench,handbag,car	ഒരു കശാപ്പ് ബ്ലോക്ക് ടേബിളിൽ പിസ്സ
A wooden block holding up the boat##oven,sink,spoon,spoon,knife,sink,sink,refrigerator,knife	ബോട്ട് ഉയർത്തിപ്പിടിക്കുന്ന ഒരു വുഡൻ ബ്ലോക്ക്
A tennis player standing in the court##person,traffic light	ഒരു ടെന്നീസ് കളിക്കാരൻ കോർട്ടിൽ നിൽക്കുന്നു
Silver metal monitor stand##potted plant	സിൽവർ മെറ്റൽ ഉള്ള മോണിറ്റർ സ്റ്റാൻഡ്
fast motion image of woman walking in rain##person,person,person,person,bus,train,handbag	മഴയിൽ നടക്കുന്ന സ്ത്രീയുടെ ഫാസ്റ്റ് മോഷൻ ചിത്രം
a watermark and date##person,person,person,person,person,person,person,person,person,boat	ഒരു വാട്ടർമാർക്കും തീയതിയും
date and time stamp##person,person,person,person,person,traffic light,car,person,person,person	തീയതി, സമയ സ്റ്റാമ്പ്
fine inscriptions on item##bicycle,person,person,person,person,motorcycle,parking meter,handbag,sports ball	ഇനത്തിലെ മികച്ച ലിഖിതങ്ങൾ
The fast moving subway train##person,sports ball,tennis racket	വേഗത്തിൽ നീങ്ങുന്ന സബ്‌വേ ട്രെയിൻ
rusty springs beneath 'schwinn'##umbrella,person,car,car,handbag,car,handbag,chair,potted plant,potted plant	'ഷ്വിന്നി'ന് ചുവടെയുള്ള തുരുമ്പിച്ച സ്പ്രിങ്ങുകൾ
This is a picture of Chinese characters##person,tennis racket,sports ball,sports ball,sports ball	ചൈനീസ് പ്രതീകങ്ങളുടെ ചിത്രമാണിത്
a couple of elephants photoshopped to stand out##airplane	വേറിട്ടുനിൽക്കുന്ന ആനകളുടെ ഫോട്ടോഷോപ്പ്
Paper forms on the table.##person,person,person,person,person,person,cake,person,remote	ടേബിളിൽ പേപ്പർ ഫോമുകൾ.
white Arabic characters on sign##person,suitcase,couch,potted plant,suitcase,bowl,vase,bowl,dining table,couch	ചിഹ്നത്തിൽ വെളുത്ത അറബി ചിഹ്നം
block on the pole##motorcycle	തടിക്കട്ടയിലെ ധ്രുവം
fork under english muffin##person,tie,tie,bottle	ഇംഗ്ലീഷ് മഫിന് കീഴിലുള്ള ഫോർക്ക്
two young softball players sitting on the bench##bed,bed	രണ്ട് യുവ സോഫ്റ്റ്ബോൾ കളിക്കാർ ബെഞ്ചിൽ ഇരിക്കുന്നു
fence on a baseball court##person,person,person,person,tennis racket,sports ball,person,tennis racket	ഒരു ബേസ്ബോൾ കോർട്ടിലെ വേലി
a cross on the top of the church##person,toothbrush,sink,bottle	പള്ളിയുടെ മുകളിൽ ഒരു കുരിശ്
Bird models suspended in shopping mall.##person,tennis racket,sports ball,tennis racket,frisbee	ഷോപ്പിംഗ് മാളിൽ പക്ഷിയുടെ മോഡലുകൾ തൂക്കി ഇട്ടിരിക്കുന്ന
the tennis court is made up of sand and dirt##vase,vase,chair,potted plant,potted plant,dining table,vase	ടെന്നീസ് കോർട്ട് മണലും അഴുക്കും ചേർന്നതാണ്
characters on the billboard##person,person,person,person,person,person,person,person,truck,person	പരസ്യബോർഡിലെ പ്രതീകങ്ങൾ
date book with plastic cover##person,person,person,person,baseball bat,person,person,baseball bat,person,person	പ്ലാസ്റ്റിക് കവറുള്ള തീയതി പുസ്തകം
Three players are wearing helmet.##person,surfboard,person,person,person,person,person,person,person,person	മൂന്ന് കളിക്കാർ ഹെൽമെറ്റ് ധരിച്ചിരിക്കുന്നു
Wooden butcher block on kitchen sink.##person,tie,baseball glove	അടുക്കള സിങ്കിൽ കശാപ്പ് ചെയ്യുന്ന തടിക്കട്ട
a fair weather cloud##horse,horse,horse,person,person,horse,person,person,person,person	നല്ല കാലാവസ്ഥാ മേഘം
a metal stand for the flowers##person,person,person	പൂക്കൾക്ക് ഒരു മെറ്റൽ സ്റ്റാൻഡ്
Date stamp of March 16th, 2008##bird,kite,umbrella,bird	2008 മാർച്ച് 16 ലെ തീയതി സ്റ്റാമ്പ്
A block wall is behind the skate park##motorcycle,motorcycle,potted plant,potted plant	സ്കേറ്റ് പാർക്കിന് പിന്നിൽ ഒരു ബ്ലോക്ക് മതിൽ ഉണ്ട്
wheels of train with springs##person,skis,skis	സ്പ്രിങ്ങുകൾ ഉള്ള ട്രെയിനിന്റെ ചക്രങ്ങൾ
dog forms splashes in the water##person,cell phone,cell phone,cell phone,cell phone,cell phone,cell phone,person,cell phone,parking meter	നായ വെള്ളം തെറിപ്പിക്കുന്നു
Booths at a street fair.##person,train,truck,person,bus,person	ഒരു തെരുവ് മേളയിലെ ബൂത്തുകൾ.
a cross country skier bending low##person,tennis racket,sports ball,sports ball,sports ball,sports ball,sports ball,sports ball,sports ball	ഒരു ക്രോസ് കൺട്രി സ്കീയർ വളയുന്നു
There is a book stand that is filled with books.##person,tennis racket	പുസ്തകങ്ങളാൽ നിറഞ്ഞ ഒരു പുസ്തക സ്റ്റാൻഡുണ്ട്.
A TV stand sitting under TV##broccoli,person,bowl,broccoli,dining table,chair,person,cake,dining table	ടിവിയുടെ കീഴിൽ ഇരിക്കുന്ന ഒരു ടിവി സ്റ്റാൻഡ്
short tan entertainment stand##person,person,person,person,person,person,baseball glove,person,person,baseball bat	ചെറിയ ടാൻ വിനോദ സ്റ്റാന്റ്
small child cross country skiing##suitcase,suitcase,suitcase,suitcase,suitcase,person,suitcase,suitcase,umbrella,suitcase	ചെറിയ കുട്ടി ക്രോസ് കൺട്രി സ്കീയിംഗ്
a man stand on dock##snowboard,person,person,person	ഒരാൾ കപ്പലിൽ നിൽക്കുന്നു
a fast food ordering bar##train,train,person	ഒരു ഫാസ്റ്റ് ഫുഡ് ഓർഡറിംഗ് ബാർ
a blue wall beside tennis court##person,sports ball,baseball glove,person	ടെന്നീസ് കോർട്ടിന് സമീപം ഒരു നീല മതിൽ
a cross in a church##person,person,person,person,tennis racket,person,person,person,person,person	ഒരു പള്ളിയിലെ ഒരു കുരിശ്
an American flag in the background of a press conference##car,car,car,car,car,car,traffic light,potted plant,train,traffic light	പത്രസമ്മേളനത്തിന്റെ പശ്ചാത്തലത്തിൽ ഒരു അമേരിക്കൻ പതാക
models of airplanes on the tables##person,person,baseball glove,person,person,person,person,person,person,person	ടേബിലിലെ വിമാനങ്ങളുടെ മോഡലുകൾ
sharp knife on the chopping block##sandwich,cell phone,bowl,dining table	ചോപ്പിംഗ് ബ്ലോക്കിലെ മൂർച്ചയുള്ള കത്തി
A small food stand on wheels.##person,person,person,motorcycle,person,motorcycle,motorcycle,motorcycle	ചക്രങ്ങളിൽ ഒരു ചെറിയ ഭക്ഷണ സ്റ്റാൻഡ്.
